feedback_id,title,description,source_system,lifecycle_status,votes,comments_count,status,category,created_at,source_url,retrieved_at,slug,relevance_hint,keyword_hits
64b69f266195340d7c270f2c,TechDocs - Documentation as catalog entities,"Currently, you can ingest markdown documents into Port by creating markdown properties. Each document will be displayed in Port as a tab on the specific entity page.

We would like to add the ability to create a ""documentation tree"" for each entity, allowing you to create a full wiki inside your developer portal.

Similar to the singular markdown documents, the documents in the ""documentation tree"" will be searchable via the [global search](https://roadmap.getport.io/ideas/p/global-search).",Port portal,In progress,107,16,exploring,Entity Pages,2023-07-18T14:18:14.227Z,https://roadmap.port.io/ideas/p/techdocs-documentation-as-catalog-entities,2026-07-29T10:58:10.897282+00:00,techdocs-documentation-as-catalog-entities,False,0
64a512f97525ac09ce7a21c4,Categorizing Self Service actions,Allow categorizing self service actions for ease of finding appropriate actions for your needs.,Port portal,In progress,106,14,in progress,Workflows,2023-07-05T06:51:37.632Z,https://roadmap.port.io/ideas/p/categorizing-self-service-actions,2026-07-29T10:56:37.006829+00:00,categorizing-self-service-actions,True,3
689c4e5eda725fecc3d241bf,Multi-step workflows,"Chain multiple inputs, approvals, conditions, and actions via automatic triggers or self-service",Port portal,Planned,69,5,planned,Automations,2025-08-13T08:35:42.274Z,https://roadmap.port.io/ideas/p/multi-step-workflows,2026-07-29T10:57:26.399180+00:00,multi-step-workflows,True,8
66c458f7b657d8bbcce59e6f,SIEM Integration for Port's Audit log,"Some customers would like the option to automatically report Port's information to an external SIEM system for security concern. 

https://www.ibm.com/topics/siem#:~:text=Security%20information%20and%20event%20management,chance%20to%20disrupt%20business%20operations.

First and most important are the changes of Port's audit log",Port portal,Open,54,7,open,Audit log,2024-08-20T08:51:03.545Z,https://roadmap.port.io/ideas/p/siem-integration-for-ports-audit-log,2026-07-29T11:01:41.045703+00:00,siem-integration-for-ports-audit-log,True,1
64d09ad21cf6f309b9affae5,Ability to retry the action from the run page,"In some cases an operation failed and a retry will solve it.

Adding a retry action for a run can be nice addition :)",Port portal,Completed,47,6,complete,Self-service actions,2023-08-07T07:18:42.165Z,https://roadmap.port.io/ideas/p/ability-to-retry-the-action-from-the-run-page,2026-07-29T11:20:22.313608+00:00,ability-to-retry-the-action-from-the-run-page,True,2
689370a809cde968bdd30c8a,"Audit log filter beyond the last 1,000 records","Right now, the audit log only shows the latest 1000 records, and filtering applies only within those 1000. We’re planning to add an API route so that when a user filters, the frontend will send the filter to the backend, which will search across the entire audit log - not just the last 1000 entries.

The result will still show up to 1000 entries, but filtered from the full log. So for example, if a user filters by “fails,” they’ll get the latest 1000 fails overall, rather than fails just within the latest 1000 records.",Port portal,In progress,46,5,in progress,Audit log,2025-08-06T15:11:36.269Z,https://roadmap.port.io/ideas/p/audit-log-filter-beyond-the-last-1-000-records,2026-07-29T10:56:32.035403+00:00,audit-log-filter-beyond-the-last-1-000-records,True,1
64acb1620a49ed5883454283,Multi-select delete,Having to delete more than 10 entries on a page is TEDIOUS.  I would love to multi-select and delete an entire group or groups at once or at least all of the resources on the page at once.,Port portal,Open,45,1,open,Catalog Tables,2023-07-11T01:33:22.829Z,https://roadmap.port.io/ideas/p/multi-select-delete,2026-07-29T11:20:52.522981+00:00,multi-select-delete,False,0
69c0e8a9943dfd034f363563,Improved customizations of user inputs validations,"Port self-service actions already support a rich set of input controls: required fields, type enforcement, regex patterns, and JQ-powered dynamic forms. We want to take that further by letting portal builders define validation rules that run directly in the form, before execution.

This means conditional logic like ""replica count must be at least 3 when deploying to production"", cross-field rules like email confirmation, and meaningful error messages that actually tell users what to fix. All without touching backend scripts or waiting for a failed action run.",Port portal,In progress,44,3,in progress,Self-service actions,2026-03-23T07:15:53.227Z,https://roadmap.port.io/ideas/p/improved-customizations-of-user-inputs-validations,2026-07-29T10:57:14.087998+00:00,improved-customizations-of-user-inputs-validations,True,11
657042ba954a046b2cfa8ab1,Microsoft teams notification,"Currently, the message sender only supports slack.

Some organizations use Microsoft teams, which means they cannot create notifications for their teams.",Port portal,Open,44,3,open,Automations,2023-12-06T09:45:30.718Z,https://roadmap.port.io/ideas/p/microsoft-teams-notification,2026-07-29T10:59:36.910875+00:00,microsoft-teams-notification,True,0
65809c20bdd786e7c10ce20e,Steps in Port Self-Service Action Form,"As a developer using Port's self-service action form,

I want the ability to collapse the form into distinct sections such as network configuration, security configuration, and IAM role,

So that I can more easily navigate and digest the information, focusing on specific areas as needed based on my answers.",Port portal,Completed,44,5,complete,Self-service actions,2023-12-18T19:23:12.361Z,https://roadmap.port.io/ideas/p/steps-in-port-self-service-action-form,2026-07-29T11:13:41.440338+00:00,steps-in-port-self-service-action-form,True,4
