feedback_id,title,description,source_url,model_is_relevant,model_polarity,model_category,model_subcategory,model_problem_type,model_journey_stage,model_product_action,model_severity,model_confidence,human_is_relevant,human_polarity,human_category,human_subcategory,human_problem_type,human_journey_stage,human_severity,human_supports_product_action,human_group_too_broad,human_group_too_narrow,human_excerpt_supports_group,notes
67ed10975a2279b95e58e906,Test connection when installing a new data source,"Enable users to validate integration setup before full installation by testing connectivity, access, and basic permissions. Reduce setup errors and improve user confidence in integration correctness during onboarding.",https://roadmap.port.io/ideas/p/test-connection-when-installing-a-new-data-source,False,Negative,,,,,Add a test-connection step to validate connectivity and permissions before completing data source installation,2,0.9,,,,,,,,,,,,
69d83042f465810c3a2b01fc,Terraform/Pulumi - Add workflow resource,"Add first-class `port_workflow` (or equivalent) resource to both the Terraform provider and the Pulumi package, so that `Workflows` can be defined, versioned, and managed as code, consistent with how Actions and Automations are handled today.

This is important for teams managing Port entirely through IaC (Terraform/Pulumi), as it removes the gap where workflows must be managed via the UI while everything else is code-managed.",https://roadmap.port.io/ideas/p/terraform-pulumi-add-workflow-resource,False,Negative,,,,,Add Terraform and Pulumi resource support for managing Workflows as code,2,0.6,,,,,,,,,,,,
672b5615349fd99b0f353e36,Confirmation Window for Unsaved Changes in Self-service actions GUI Mode,"Add a confirmation window in the GUI mode in Self-service action window to prompt users when they attempt to navigate away from the page without saving their changes. Currently, this confirmation prompt exists in JSON mode in Self-service action window, but it is missing in GUI mode, which can lead to accidental data loss.

Rationale:

In the GUI mode, users may accidentally navigate away without saving their changes. A confirmation prompt will help prevent this, ensuring users have the chance to save their work before leaving the page. This feature is especially helpful for complex edits ",https://roadmap.port.io/ideas/p/confirmation-window-for-unsaved-changes-in-self-service-actions-gui-mode,True,Negative,"Authoring, Testing & Management",Editing & unsaved-change safety,Feature gap,"Testing, editing & publishing",Add an unsaved-changes confirmation prompt to the GUI mode of the action editor consistent with JSON mode.,3,0.9,,,,,,,,,,,,
6481f8653a354e3a958a0c03,Automation,"Currently, Port can trigger workflows when a change is made in the software catalog, for example, trigger a webhook. This is done with the [changelog listener](https://docs.getport.io/create-self-service-experiences/setup-backend/webhook/examples/changelog-listener). The main problem with the changelog listener is that only one trigger per blueprint can be defined, and each trigger is executed for any change in the catalog, without the ability to define rules for a specific trigger.

With the ""Automations"" feature, we plan to improve the changelog listener with the following capabilities:
",https://roadmap.port.io/ideas/p/automation,False,Negative,,,,,Enable multiple rule-based automations per blueprint with expanded invocation options,2,0.9,,,,,,,,,,,,
6a61eb457560de5c7714679f,HashiCorp Vault for Secrets Management in Port Actions/Workflows,"When triggering webhooks or direct orchestrator calls from Port Self-Service Actions or Workflows, Port currently requires secrets (API keys, tokens) to be stored within Port itself. For organizations with strict infosec policies — where all secrets must reside exclusively in HashiCorp Vault — this is a blocker.

The workaround today is to route through a CI system (GitHub Actions, Jenkins, etc.) that handles the Vault key exchange, but this introduces an unwanted dependency for teams using a direct orchestrator pattern where the orchestrator feeds execution feedback back into Port.

Reque",https://roadmap.port.io/ideas/p/hashicorp-vault-for-secrets-management-in-port-actions-workflows,True,Negative,"Identity, Secrets & Security",Credentials & secrets management,Feature gap,Backend & invocation setup,Add native support for resolving secrets from HashiCorp Vault at runtime for self-service actions and workflows.,5,0.85,,,,,,,,,,,,
6a02b8cf83cc90c4a7254469,Use webhooks to trigger Code Coverage and Test Run kinds for ADO,"Currently we grab ADO Code Coverage and Test Run results as a part of a sync. As these kinds typically created when a Pipeline Run occurs, we could use the ""live event"" webhooks from ADO for pipeline runs to call the Code Coverage and Test Run endpoints rather than sync. This would speed up the overall ADO syncs, reduce the change of rate limiting and also provide near-real time data for Code Coverage and Test Runs, inline with the pipeline runs. So when a pipeline run is completed, we should then call the Code Coverage and Test Run endpoints to provide the additional metadata.",https://roadmap.port.io/ideas/p/use-webhooks-to-trigger-code-coverage-and-test-run-kinds-for-ado,False,Negative,,,,,Enable webhook-based triggering of ADO Code Coverage and Test Run data fetches upon pipeline completion,2,0.95,,,,,,,,,,,,
649bdc0ecf7291098a1c28bf,Auto-generate action inputs from blueprint definition,"Right now if you want to create an action that includes as inputs the exact same properties that exist on a blueprint, that action has to be created and its inputs need to be configured manually.

But since it is quite common that action inputs closely resemble the blueprints they are defined on, it would save a lot of time and configuration to just create a new blueprint action with an “input copy” of the blueprint properties. The user will then have the option to customize the action inputs as he needs, but a lot of the initial work of replicating the blueprint properties as inputs again w",https://roadmap.port.io/ideas/p/auto-generate-action-inputs-from-blueprint-definition,True,Negative,"Discovery, Organization & Reuse",Reusability & templates,Configuration complexity,Form & input configuration,"Enable auto-generating action inputs from an existing blueprint's properties, with the option to customize afterward.",2,0.75,,,,,,,,,,,,
67fe69fc077f02acb331e710,Associate action with multiple blueprints,"Currently as it stands, an action can only be associated with one blueprint. It would be great to have an action be associated with multiple blueprints, for example if we want to restart a service, all catalogs will have service overview and likely this action will be associated with service overview entity. In all scenarios there will also be services from respective container orchestration (ECS/EKS) - right now as it stands an action if associated with service overview entity cant be associated with the service blueprint entity - which means a new actions should be created which can be assoc",https://roadmap.port.io/ideas/p/associate-action-with-multiple-blueprints,True,Negative,"Context, Targeting & Pre-fill",Entity and resource targeting,Feature gap,"Contextual entry, targeting & pre-fill",Enable associating a single action with multiple blueprints for entity targeting.,3,0.55,,,,,,,,,,,,
69fcfb5f510034cca6d534c3,Allow ocean integrations to run with granular permissions,"Now Ocean integrations can run with service accounts, but they still require Admin role. We need the ability to scope the permissions for the ocean integration service account to read/register/update/delete only certain blueprints.",https://roadmap.port.io/ideas/p/allow-ocean-integrations-to-run-with-granular-permissions,False,Negative,,,,,"Enable scoped, blueprint-level permissions for Ocean integration service accounts instead of requiring Admin role.",3,0.8,,,,,,,,,,,,
6874c373410d522ad019cd56,Placeholder value in self-service action fields,"When using regex to validate fields value we either have to not provide a default value or provide a valid value.

It would be useful to be able to set placeholder value to give user an example but forcing them to set a new value.

This prevent the case where the action is wrongly submitted with the example default value.",https://roadmap.port.io/ideas/p/placeholder-value-in-self-service-action-fields,True,Negative,Form Configuration,"Labels, descriptions & display controls",Feature gap,Form & input configuration,Add support for placeholder text on form fields that is distinct from default values and cannot be submitted as-is,3,0.75,,,,,,,,,,,,
65685e7528ed3bfa080d5deb,Action run dashboard/homepage widget,"A dashboard/homepage widget that displays the runs of a specific self-service action.

The widget will display as columns the general details of each run (ID, status, start, end) and also the specific inputs of the action inputted by the user who executed it.",https://roadmap.port.io/ideas/p/action-run-dashboardhomepage-widget,True,Negative,Observability & Debugging,"Run history, audit & filtering",Feature gap,"Execution, monitoring & run control",Provide a dashboard widget that displays run history and submitted inputs for a specific self-service action,2,0.75,,,,,,,,,,,,
694a6d94a4ea4d2d8a8639cb,Audit log streaming to a data warehouse,"Support streaming audit logs to a customer-managed data warehouse bucket, enabling customers to monitor Port activity in near real time.",https://roadmap.port.io/ideas/p/audit-log-streaming-to-a-data-warehouse,False,Negative,,,,,Support streaming platform audit logs to a customer-managed data warehouse,2,0.9,,,,,,,,,,,,
688cd5bf0590fd0cef3cbead,Add Webhook Secret Support for Ocean Metrics,"Currently, Ocean metrics webhooks only support passing a webhook URL, adding support for webhook secrets to enhance the security of metrics data sent from Ocean integrations to monitoring endpoints",https://roadmap.port.io/ideas/p/add-webhook-secret-support-for-ocean-metrics,False,Negative,,,,,Add webhook secret support for Ocean metrics integrations,2,0.9,,,,,,,,,,,,
6a0afd1159c18d657028cd5c,Disable workflow execute button while execution is in progress,"Currently, when a workflow is triggered, the execute button remains enabled. If the workflow takes time to start, users can click the button multiple times, unintentionally triggering duplicate executions.

The execute button should be disabled (greyed out) immediately after the first click and remain disabled until the workflow reaches a terminal state (SUCCESS, FAILURE, or DECLINED), preventing accidental multiple executions.

Users may unknowingly trigger the same workflow several times in quick succession, leading to duplicate runs and unexpected results.",https://roadmap.port.io/ideas/p/disable-workflow-execute-button-while-execution-is-in-progress,True,Negative,Execution Lifecycle,"Concurrency, rate limits & duplicate prevention",Bug / defect,"Execution, monitoring & run control",Disable the execute button after first click until the run reaches a terminal state to prevent duplicate executions,3,0.85,,,,,,,,,,,,
6481fa485cf5a50d549eaa3c,Self-service actions - controlling the payload,"Use JQ to manipulate the payload before sending it to the relevant workflow (Webhook, Kafka, GitHub Workflow, and any other invocation method)",https://roadmap.port.io/ideas/p/self-service-actions-controlling-the-payload,True,Negative,Invocation & Integrations,Payload mapping & transformation,Feature gap,Backend & invocation setup,"Enable JQ-based payload transformation before invocation across all backend methods (Webhook, Kafka, GitHub Workflow, etc.)",3,0.75,,,,,,,,,,,,
